State,Year,Month,tavg,pcp
Alabama,2018,December,49.0,9.95
Alabama,2018,November,50.4,6.29
Alabama,2018,October,67.4,2.69
Alabama,2018,September,79.4,6.21
Alabama,2018,August,79.5,5.03
Alabama,2018,July,80.7,4.46
Alabama,2018,June,79.3,4.58
Alabama,2018,May,74.4,5.52
Alabama,2018,April,59.5,5.94
Alabama,2018,March,55.4,4.14
Alabama,2018,February,58.0,7.27
Alabama,2018,January,40.4,2.32
Alabama,2017,December,46.9,3.89
Alabama,2017,November,55.6,1.05
Alabama,2017,October,65.8,6.03
Alabama,2017,September,73.4,3.25
Alabama,2017,August,78.8,6.07
Alabama,2017,July,80.6,5.06
Alabama,2017,June,75.8,10.7
Alabama,2017,May,69.9,7.01
Alabama,2017,April,67.2,4.09
Alabama,2017,March,58.4,4.17
Alabama,2017,February,55.6,3.7
Alabama,2017,January,52.4,9.17
Alabama,2016,December,50.1,5.05
Alabama,2016,November,57.8,2.3
Alabama,2016,October,68.5,0.13
Alabama,2016,September,78.6,1.72
Alabama,2016,August,81.6,4.58
Alabama,2016,July,82.0,4.27
Alabama,2016,June,79.2,3.81
Alabama,2016,May,70.2,2.14
Alabama,2016,April,63.6,5.68
Alabama,2016,March,59.7,5.42
Alabama,2016,February,49.8,5.85
Alabama,2016,January,43.0,4.06
Alabama,2015,December,56.9,11.87
Alabama,2015,November,59.2,6.8
Alabama,2015,October,65.0,2.93
Alabama,2015,September,74.4,2.71
Alabama,2015,August,79.0,4.94
Alabama,2015,July,81.6,4.71
Alabama,2015,June,78.8,3.27
Alabama,2015,May,71.8,4.32
Alabama,2015,April,66.0,7.14
Alabama,2015,March,57.8,4.28
Alabama,2015,February,41.3,4.05
Alabama,2015,January,43.6,4.34
Alabama,2014,December,50.0,6.36
Alabama,2014,November,48.2,2.98
Alabama,2014,October,65.2,4.38
Alabama,2014,September,76.3,2.51
Alabama,2014,August,79.5,3.25
Alabama,2014,July,77.8,3.36
Alabama,2014,June,77.9,5.23
Alabama,2014,May,70.2,4.27
Alabama,2014,April,62.4,9.67
Alabama,2014,March,52.3,5.57
Alabama,2014,February,47.3,5.75
Alabama,2014,January,37.3,2.7
Alabama,2013,December,47.9,7.93
Alabama,2013,November,51.6,3.42
Alabama,2013,October,64.9,1.47
Alabama,2013,September,75.0,3.2
Alabama,2013,August,77.9,5.5
Alabama,2013,July,77.7,8.7
Alabama,2013,June,78.0,5.81
Alabama,2013,May,68.2,4.0
Alabama,2013,April,62.2,5.71
Alabama,2013,March,49.8,3.83
Alabama,2013,February,48.0,8.86
Alabama,2013,January,50.0,6.27
Alabama,2012,December,50.9,6.61
Alabama,2012,November,51.2,1.36
Alabama,2012,October,62.2,2.91
Alabama,2012,September,73.0,5.35
Alabama,2012,August,78.1,6.07
Alabama,2012,July,81.6,5.75
Alabama,2012,June,76.8,4.0
Alabama,2012,May,73.4,4.16
Alabama,2012,April,65.0,1.89
Alabama,2012,March,64.6,5.35
Alabama,2012,February,52.1,4.49
Alabama,2012,January,50.1,5.44
Alabama,2011,December,49.3,5.04
Alabama,2011,November,55.3,4.13
Alabama,2011,October,60.6,0.79
Alabama,2011,September,72.1,7.21
Alabama,2011,August,81.8,2.05
Alabama,2011,July,81.7,5.52
Alabama,2011,June,81.2,3.55
Alabama,2011,May,69.9,1.64
Alabama,2011,April,65.7,5.08
Alabama,2011,March,57.8,8.18
Alabama,2011,February,49.5,3.49
Alabama,2011,January,41.1,4.03
Alabama,2010,December,40.3,2.2
Alabama,2010,November,55.2,4.73
Alabama,2010,October,64.3,2.59
Alabama,2010,September,76.9,1.61
Alabama,2010,August,83.0,4.83
Alabama,2010,July,82.6,3.5
Alabama,2010,June,80.9,3.26
Alabama,2010,May,73.3,6.15
Alabama,2010,April,64.2,2.82
Alabama,2010,March,51.2,5.07
Alabama,2010,February,40.6,4.22
Alabama,2010,January,40.0,6.21
Alabama,2009,December,44.8,10.63
Alabama,2009,November,53.4,4.39
Alabama,2009,October,62.8,7.18
Alabama,2009,September,75.0,7.57
Alabama,2009,August,78.0,5.49
Alabama,2009,July,78.1,5.59
Alabama,2009,June,79.4,2.71
Alabama,2009,May,71.2,8.51
Alabama,2009,April,61.4,4.45
Alabama,2009,March,57.3,8.98
Alabama,2009,February,48.2,3.85
Alabama,2009,January,45.3,4.42
Alabama,2018,December,49.0,9.95
Alabama,2018,November,50.4,6.29
Alabama,2018,October,67.4,2.69
Alabama,2018,September,79.4,6.21
Alabama,2018,August,79.5,5.03
Alabama,2018,July,80.7,4.46
Alabama,2018,June,79.3,4.58
Alabama,2018,May,74.4,5.52
Alabama,2018,April,59.5,5.94
Alabama,2018,March,55.4,4.14
Alabama,2018,February,58.0,7.27
Alabama,2018,January,40.4,2.32
Alabama,2017,December,46.9,3.89
Alabama,2017,November,55.6,1.05
Alabama,2017,October,65.8,6.03
Alabama,2017,September,73.4,3.25
Alabama,2017,August,78.8,6.07
Alabama,2017,July,80.6,5.06
Alabama,2017,June,75.8,10.7
Alabama,2017,May,69.9,7.01
Alabama,2017,April,67.2,4.09
Alabama,2017,March,58.4,4.17
Alabama,2017,February,55.6,3.7
Alabama,2017,January,52.4,9.17
Alabama,2016,December,50.1,5.05
Alabama,2016,November,57.8,2.3
Alabama,2016,October,68.5,0.13
Alabama,2016,September,78.6,1.72
Alabama,2016,August,81.6,4.58
Alabama,2016,July,82.0,4.27
Alabama,2016,June,79.2,3.81
Alabama,2016,May,70.2,2.14
Alabama,2016,April,63.6,5.68
Alabama,2016,March,59.7,5.42
Alabama,2016,February,49.8,5.85
Alabama,2016,January,43.0,4.06
Alabama,2015,December,56.9,11.87
Alabama,2015,November,59.2,6.8
Alabama,2015,October,65.0,2.93
Alabama,2015,September,74.4,2.71
Alabama,2015,August,79.0,4.94
Alabama,2015,July,81.6,4.71
Alabama,2015,June,78.8,3.27
Alabama,2015,May,71.8,4.32
Alabama,2015,April,66.0,7.14
Alabama,2015,March,57.8,4.28
Alabama,2015,February,41.3,4.05
Alabama,2015,January,43.6,4.34
Alabama,2014,December,50.0,6.36
Alabama,2014,November,48.2,2.98
Alabama,2014,October,65.2,4.38
Alabama,2014,September,76.3,2.51
Alabama,2014,August,79.5,3.25
Alabama,2014,July,77.8,3.36
Alabama,2014,June,77.9,5.23
Alabama,2014,May,70.2,4.27
Alabama,2014,April,62.4,9.67
Alabama,2014,March,52.3,5.57
Alabama,2014,February,47.3,5.75
Alabama,2014,January,37.3,2.7
Alabama,2013,December,47.9,7.93
Alabama,2013,November,51.6,3.42
Alabama,2013,October,64.9,1.47
Alabama,2013,September,75.0,3.2
Alabama,2013,August,77.9,5.5
Alabama,2013,July,77.7,8.7
Alabama,2013,June,78.0,5.81
Alabama,2013,May,68.2,4.0
Alabama,2013,April,62.2,5.71
Alabama,2013,March,49.8,3.83
Alabama,2013,February,48.0,8.86
Alabama,2013,January,50.0,6.27
Alabama,2012,December,50.9,6.61
Alabama,2012,November,51.2,1.36
Alabama,2012,October,62.2,2.91
Alabama,2012,September,73.0,5.35
Alabama,2012,August,78.1,6.07
Alabama,2012,July,81.6,5.75
Alabama,2012,June,76.8,4.0
Alabama,2012,May,73.4,4.16
Alabama,2012,April,65.0,1.89
Alabama,2012,March,64.6,5.35
Alabama,2012,February,52.1,4.49
Alabama,2012,January,50.1,5.44
Alabama,2011,December,49.3,5.04
Alabama,2011,November,55.3,4.13
Alabama,2011,October,60.6,0.79
Alabama,2011,September,72.1,7.21
Alabama,2011,August,81.8,2.05
Alabama,2011,July,81.7,5.52
Alabama,2011,June,81.2,3.55
Alabama,2011,May,69.9,1.64
Alabama,2011,April,65.7,5.08
Alabama,2011,March,57.8,8.18
Alabama,2011,February,49.5,3.49
Alabama,2011,January,41.1,4.03
Alabama,2010,December,40.3,2.2
Alabama,2010,November,55.2,4.73
Alabama,2010,October,64.3,2.59
Alabama,2010,September,76.9,1.61
Alabama,2010,August,83.0,4.83
Alabama,2010,July,82.6,3.5
Alabama,2010,June,80.9,3.26
Alabama,2010,May,73.3,6.15
Alabama,2010,April,64.2,2.82
Alabama,2010,March,51.2,5.07
Alabama,2010,February,40.6,4.22
Alabama,2010,January,40.0,6.21
Alabama,2009,December,44.8,10.63
Alabama,2009,November,53.4,4.39
Alabama,2009,October,62.8,7.18
Alabama,2009,September,75.0,7.57
Alabama,2009,August,78.0,5.49
Alabama,2009,July,78.1,5.59
Alabama,2009,June,79.4,2.71
Alabama,2009,May,71.2,8.51
Alabama,2009,April,61.4,4.45
Alabama,2009,March,57.3,8.98
Alabama,2009,February,48.2,3.85
Alabama,2009,January,45.3,4.42
Arizona,2018,December,42.8,0.71
Arizona,2018,November,49.4,0.27
Arizona,2018,October,59.9,2.7
Arizona,2018,September,76.0,0.81
Arizona,2018,August,80.2,2.0
Arizona,2018,July,82.3,2.59
Arizona,2018,June,78.6,0.33
Arizona,2018,May,68.5,0.15
Arizona,2018,April,62.9,0.04
Arizona,2018,March,52.3,0.44
Arizona,2018,February,46.7,1.07
Arizona,2018,January,47.6,0.56
Arizona,2017,December,46.6,0.13
Arizona,2017,November,57.6,0.02
Arizona,2017,October,65.1,0.03
Arizona,2017,September,72.4,0.61
Arizona,2017,August,79.1,1.39
Arizona,2017,July,81.5,2.89
Arizona,2017,June,79.8,0.06
Arizona,2017,May,66.1,0.41
Arizona,2017,April,59.9,0.19
Arizona,2017,March,56.6,0.41
Arizona,2017,February,49.4,1.26
Arizona,2017,January,42.3,2.07
Arizona,2016,December,44.7,2.13
Arizona,2016,November,53.1,0.94
Arizona,2016,October,66.1,0.35
Arizona,2016,September,71.6,1.35
Arizona,2016,August,77.5,2.57
Arizona,2016,July,82.4,1.39
Arizona,2016,June,80.3,0.43
Arizona,2016,May,64.6,0.52
Arizona,2016,April,58.5,0.8
Arizona,2016,March,54.9,0.11
Arizona,2016,February,50.6,0.29
Arizona,2016,January,41.8,1.4
Arizona,2015,December,40.9,0.6
Arizona,2015,November,48.3,0.76
Arizona,2015,October,64.5,1.88
Arizona,2015,September,75.0,1.37
Arizona,2015,August,80.6,2.1
Arizona,2015,July,78.6,1.91
Arizona,2015,June,78.4,0.8
Arizona,2015,May,62.9,1.0
Arizona,2015,April,58.4,0.42
Arizona,2015,March,56.3,1.12
Arizona,2015,February,52.0,0.64
Arizona,2015,January,45.1,1.79
Arizona,2014,December,44.3,1.47
Arizona,2014,November,51.7,0.11
Arizona,2014,October,64.9,0.6
Arizona,2014,September,74.2,2.49
Arizona,2014,August,76.5,3.13
Arizona,2014,July,81.4,1.86
Arizona,2014,June,77.7,0.01
Arizona,2014,May,66.8,0.07
Arizona,2014,April,59.1,0.24
Arizona,2014,March,53.9,0.9
Arizona,2014,February,50.0,0.16
Arizona,2014,January,46.5,0.03
Arizona,2013,December,41.5,0.44
Arizona,2013,November,51.3,1.86
Arizona,2013,October,58.8,0.21
Arizona,2013,September,72.4,1.88
Arizona,2013,August,78.5,2.39
Arizona,2013,July,81.0,2.68
Arizona,2013,June,79.5,0.03
Arizona,2013,May,67.4,0.06
Arizona,2013,April,59.4,0.2
Arizona,2013,March,54.8,0.57
Arizona,2013,February,42.2,0.51
Arizona,2013,January,38.6,1.3
Arizona,2012,December,42.4,1.46
Arizona,2012,November,53.8,0.21
Arizona,2012,October,63.8,0.25
Arizona,2012,September,73.7,1.07
Arizona,2012,August,80.5,2.22
Arizona,2012,July,80.0,2.52
Arizona,2012,June,78.7,0.08
Arizona,2012,May,69.3,0.05
Arizona,2012,April,60.6,0.32
Arizona,2012,March,51.6,0.69
Arizona,2012,February,45.6,0.43
Arizona,2012,January,45.3,0.26
Arizona,2011,December,39.9,1.55
Arizona,2011,November,49.4,0.92
Arizona,2011,October,62.8,0.67
Arizona,2011,September,74.6,1.31
Arizona,2011,August,82.2,1.28
Arizona,2011,July,80.8,1.76
Arizona,2011,June,75.7,0.02
Arizona,2011,May,63.2,0.28
Arizona,2011,April,58.9,0.41
Arizona,2011,March,53.3,0.33
Arizona,2011,February,41.7,1.05
Arizona,2011,January,41.5,0.05
Arizona,2010,December,46.7,1.67
Arizona,2010,November,48.3,0.19
Arizona,2010,October,62.7,1.35
Arizona,2010,September,75.4,0.6
Arizona,2010,August,79.0,1.84
Arizona,2010,July,81.8,1.97
Arizona,2010,June,75.9,0.08
Arizona,2010,May,63.1,0.06
Arizona,2010,April,56.1,0.27
Arizona,2010,March,49.2,1.03
Arizona,2010,February,44.3,1.44
Arizona,2010,January,42.2,3.41
Arizona,2009,December,39.0,1.21
Arizona,2009,November,52.9,0.15
Arizona,2009,October,59.4,0.15
Arizona,2009,September,74.1,0.69
Arizona,2009,August,79.7,0.66
Arizona,2009,July,82.8,1.09
Arizona,2009,June,73.0,0.34
Arizona,2009,May,70.8,0.74
Arizona,2009,April,57.0,0.29
Arizona,2009,March,52.5,0.17
Arizona,2009,February,46.6,1.02
Arizona,2009,January,45.2,0.52
Arizona,2018,December,42.8,0.71
Arizona,2018,November,49.4,0.27
Arizona,2018,October,59.9,2.7
Arizona,2018,September,76.0,0.81
Arizona,2018,August,80.2,2.0
Arizona,2018,July,82.3,2.59
Arizona,2018,June,78.6,0.33
Arizona,2018,May,68.5,0.15
Arizona,2018,April,62.9,0.04
Arizona,2018,March,52.3,0.44
Arizona,2018,February,46.7,1.07
Arizona,2018,January,47.6,0.56
Arizona,2017,December,46.6,0.13
Arizona,2017,November,57.6,0.02
Arizona,2017,October,65.1,0.03
Arizona,2017,September,72.4,0.61
Arizona,2017,August,79.1,1.39
Arizona,2017,July,81.5,2.89
Arizona,2017,June,79.8,0.06
Arizona,2017,May,66.1,0.41
Arizona,2017,April,59.9,0.19
Arizona,2017,March,56.6,0.41
Arizona,2017,February,49.4,1.26
Arizona,2017,January,42.3,2.07
Arizona,2016,December,44.7,2.13
Arizona,2016,November,53.1,0.94
Arizona,2016,October,66.1,0.35
Arizona,2016,September,71.6,1.35
Arizona,2016,August,77.5,2.57
Arizona,2016,July,82.4,1.39
Arizona,2016,June,80.3,0.43
Arizona,2016,May,64.6,0.52
Arizona,2016,April,58.5,0.8
Arizona,2016,March,54.9,0.11
Arizona,2016,February,50.6,0.29
Arizona,2016,January,41.8,1.4
Arizona,2015,December,40.9,0.6
Arizona,2015,November,48.3,0.76
Arizona,2015,October,64.5,1.88
Arizona,2015,September,75.0,1.37
Arizona,2015,August,80.6,2.1
Arizona,2015,July,78.6,1.91
Arizona,2015,June,78.4,0.8
Arizona,2015,May,62.9,1.0
Arizona,2015,April,58.4,0.42
Arizona,2015,March,56.3,1.12
Arizona,2015,February,52.0,0.64
Arizona,2015,January,45.1,1.79
Arizona,2014,December,44.3,1.47
Arizona,2014,November,51.7,0.11
Arizona,2014,October,64.9,0.6
Arizona,2014,September,74.2,2.49
Arizona,2014,August,76.5,3.13
Arizona,2014,July,81.4,1.86
Arizona,2014,June,77.7,0.01
Arizona,2014,May,66.8,0.07
Arizona,2014,April,59.1,0.24
Arizona,2014,March,53.9,0.9
Arizona,2014,February,50.0,0.16
Arizona,2014,January,46.5,0.03
Arizona,2013,December,41.5,0.44
Arizona,2013,November,51.3,1.86
Arizona,2013,October,58.8,0.21
Arizona,2013,September,72.4,1.88
Arizona,2013,August,78.5,2.39
Arizona,2013,July,81.0,2.68
Arizona,2013,June,79.5,0.03
Arizona,2013,May,67.4,0.06
Arizona,2013,April,59.4,0.2
Arizona,2013,March,54.8,0.57
Arizona,2013,February,42.2,0.51
Arizona,2013,January,38.6,1.3
Arizona,2012,December,42.4,1.46
Arizona,2012,November,53.8,0.21
Arizona,2012,October,63.8,0.25
Arizona,2012,September,73.7,1.07
Arizona,2012,August,80.5,2.22
Arizona,2012,July,80.0,2.52
Arizona,2012,June,78.7,0.08
Arizona,2012,May,69.3,0.05
Arizona,2012,April,60.6,0.32
Arizona,2012,March,51.6,0.69
Arizona,2012,February,45.6,0.43
Arizona,2012,January,45.3,0.26
Arizona,2011,December,39.9,1.55
Arizona,2011,November,49.4,0.92
Arizona,2011,October,62.8,0.67
Arizona,2011,September,74.6,1.31
Arizona,2011,August,82.2,1.28
Arizona,2011,July,80.8,1.76
Arizona,2011,June,75.7,0.02
Arizona,2011,May,63.2,0.28
Arizona,2011,April,58.9,0.41
Arizona,2011,March,53.3,0.33
Arizona,2011,February,41.7,1.05
Arizona,2011,January,41.5,0.05
Arizona,2010,December,46.7,1.67
Arizona,2010,November,48.3,0.19
Arizona,2010,October,62.7,1.35
Arizona,2010,September,75.4,0.6
Arizona,2010,August,79.0,1.84
Arizona,2010,July,81.8,1.97
Arizona,2010,June,75.9,0.08
Arizona,2010,May,63.1,0.06
Arizona,2010,April,56.1,0.27
Arizona,2010,March,49.2,1.03
Arizona,2010,February,44.3,1.44
Arizona,2010,January,42.2,3.41
Arizona,2009,December,39.0,1.21
Arizona,2009,November,52.9,0.15
Arizona,2009,October,59.4,0.15
Arizona,2009,September,74.1,0.69
Arizona,2009,August,79.7,0.66
Arizona,2009,July,82.8,1.09
Arizona,2009,June,73.0,0.34
Arizona,2009,May,70.8,0.74
Arizona,2009,April,57.0,0.29
Arizona,2009,March,52.5,0.17
Arizona,2009,February,46.6,1.02
Arizona,2009,January,45.2,0.52
Arkansas,2018,December,44.2,7.76
Arkansas,2018,November,45.8,5.11
Arkansas,2018,October,62.6,5.22
Arkansas,2018,September,75.0,5.32
Arkansas,2018,August,78.8,6.43
Arkansas,2018,July,81.8,3.24
Arkansas,2018,June,80.1,2.94
Arkansas,2018,May,75.0,3.28
Arkansas,2018,April,55.2,5.06
Arkansas,2018,March,53.9,5.45
Arkansas,2018,February,45.9,11.81
Arkansas,2018,January,35.7,2.7
Arkansas,2017,December,42.4,5.19
Arkansas,2017,November,53.7,1.11
Arkansas,2017,October,62.9,1.82
Arkansas,2017,September,73.2,1.21
Arkansas,2017,August,76.9,6.3
Arkansas,2017,July,80.6,4.72
Arkansas,2017,June,75.5,4.24
Arkansas,2017,May,67.7,6.59
Arkansas,2017,April,64.2,8.74
Arkansas,2017,March,55.7,4.56
Arkansas,2017,February,52.5,2.76
Arkansas,2017,January,45.2,3.02
Arkansas,2016,December,42.5,3.76
Arkansas,2016,November,55.7,3.28
Arkansas,2016,October,67.0,1.58
Arkansas,2016,September,75.8,1.8
Arkansas,2016,August,80.0,7.42
Arkansas,2016,July,82.0,4.82
Arkansas,2016,June,78.9,3.1
Arkansas,2016,May,67.2,4.54
Arkansas,2016,April,62.5,5.8
Arkansas,2016,March,55.5,9.89
Arkansas,2016,February,46.9,2.43
Arkansas,2016,January,39.5,2.02
Arkansas,2015,December,50.0,8.44
Arkansas,2015,November,54.2,10.72
Arkansas,2015,October,63.5,3.75
Arkansas,2015,September,74.8,1.47
Arkansas,2015,August,78.1,3.02
Arkansas,2015,July,81.9,4.92
Arkansas,2015,June,78.1,3.99
Arkansas,2015,May,69.3,10.56
Arkansas,2015,April,62.5,5.75
Arkansas,2015,March,49.7,8.02
Arkansas,2015,February,36.1,3.18
Arkansas,2015,January,38.6,3.49
Arkansas,2014,December,43.8,3.01
Arkansas,2014,November,44.9,2.68
Arkansas,2014,October,63.7,5.43
Arkansas,2014,September,72.6,2.42
Arkansas,2014,August,78.7,2.89
Arkansas,2014,July,75.4,4.34
Arkansas,2014,June,76.7,6.24
Arkansas,2014,May,68.1,6.05
Arkansas,2014,April,59.6,5.54
Arkansas,2014,March,46.5,4.66
Arkansas,2014,February,38.8,2.67
Arkansas,2014,January,35.2,1.98
Arkansas,2013,December,40.1,5.75
Arkansas,2013,November,47.5,3.85
Arkansas,2013,October,61.5,4.84
Arkansas,2013,September,75.4,3.47
Arkansas,2013,August,78.4,3.83
Arkansas,2013,July,78.0,4.04
Arkansas,2013,June,77.1,3.32
Arkansas,2013,May,67.2,6.29
Arkansas,2013,April,58.5,5.23
Arkansas,2013,March,46.6,3.51
Arkansas,2013,February,43.3,4.07
Arkansas,2013,January,42.1,6.04
Arkansas,2012,December,46.4,3.91
Arkansas,2012,November,50.2,1.74
Arkansas,2012,October,59.3,3.29
Arkansas,2012,September,73.5,5.01
Arkansas,2012,August,80.2,4.37
Arkansas,2012,July,84.1,2.82
Arkansas,2012,June,78.0,1.98
Arkansas,2012,May,73.2,1.47
Arkansas,2012,April,64.4,2.56
Arkansas,2012,March,62.2,6.71
Arkansas,2012,February,47.2,3.03
Arkansas,2012,January,44.6,2.92
Arkansas,2011,December,43.3,6.97
Arkansas,2011,November,53.4,8.45
Arkansas,2011,October,60.6,2.54
Arkansas,2011,September,70.2,2.49
Arkansas,2011,August,83.1,4.26
Arkansas,2011,July,84.7,2.03
Arkansas,2011,June,81.7,1.67
Arkansas,2011,May,67.3,8.31
Arkansas,2011,April,63.5,10.6
Arkansas,2011,March,52.5,2.8
Arkansas,2011,February,43.9,4.12
Arkansas,2011,January,37.6,1.6
Arkansas,2010,December,38.9,1.54
Arkansas,2010,November,52.0,4.35
Arkansas,2010,October,62.7,1.31
Arkansas,2010,September,74.8,3.3
Arkansas,2010,August,83.9,1.73
Arkansas,2010,July,82.0,4.46
Arkansas,2010,June,81.6,2.61
Arkansas,2010,May,71.3,6.2
Arkansas,2010,April,63.4,3.06
Arkansas,2010,March,50.5,2.99
Arkansas,2010,February,36.5,3.32
Arkansas,2010,January,36.5,3.92
Arkansas,2009,December,38.1,6.98
Arkansas,2009,November,54.0,1.7
Arkansas,2009,October,57.0,14.13
Arkansas,2009,September,71.3,8.64
Arkansas,2009,August,76.6,3.55
Arkansas,2009,July,77.8,7.55
Arkansas,2009,June,78.8,2.61
Arkansas,2009,May,67.5,11.03
Arkansas,2009,April,59.6,5.21
Arkansas,2009,March,52.7,5.35
Arkansas,2009,February,47.3,2.71
Arkansas,2009,January,38.4,2.74
Arkansas,2018,December,44.2,7.76
Arkansas,2018,November,45.8,5.11
Arkansas,2018,October,62.6,5.22
Arkansas,2018,September,75.0,5.32
Arkansas,2018,August,78.8,6.43
Arkansas,2018,July,81.8,3.24
Arkansas,2018,June,80.1,2.94
Arkansas,2018,May,75.0,3.28
Arkansas,2018,April,55.2,5.06
Arkansas,2018,March,53.9,5.45
Arkansas,2018,February,45.9,11.81
Arkansas,2018,January,35.7,2.7
Arkansas,2017,December,42.4,5.19
Arkansas,2017,November,53.7,1.11
Arkansas,2017,October,62.9,1.82
Arkansas,2017,September,73.2,1.21
Arkansas,2017,August,76.9,6.3
Arkansas,2017,July,80.6,4.72
Arkansas,2017,June,75.5,4.24
Arkansas,2017,May,67.7,6.59
Arkansas,2017,April,64.2,8.74
Arkansas,2017,March,55.7,4.56
Arkansas,2017,February,52.5,2.76
Arkansas,2017,January,45.2,3.02
Arkansas,2016,December,42.5,3.76
Arkansas,2016,November,55.7,3.28
Arkansas,2016,October,67.0,1.58
Arkansas,2016,September,75.8,1.8
Arkansas,2016,August,80.0,7.42
Arkansas,2016,July,82.0,4.82
Arkansas,2016,June,78.9,3.1
Arkansas,2016,May,67.2,4.54
Arkansas,2016,April,62.5,5.8
Arkansas,2016,March,55.5,9.89
Arkansas,2016,February,46.9,2.43
Arkansas,2016,January,39.5,2.02
Arkansas,2015,December,50.0,8.44
Arkansas,2015,November,54.2,10.72
Arkansas,2015,October,63.5,3.75
Arkansas,2015,September,74.8,1.47
Arkansas,2015,August,78.1,3.02
Arkansas,2015,July,81.9,4.92
Arkansas,2015,June,78.1,3.99
Arkansas,2015,May,69.3,10.56
Arkansas,2015,April,62.5,5.75
Arkansas,2015,March,49.7,8.02
Arkansas,2015,February,36.1,3.18
Arkansas,2015,January,38.6,3.49
Arkansas,2014,December,43.8,3.01
Arkansas,2014,November,44.9,2.68
Arkansas,2014,October,63.7,5.43
Arkansas,2014,September,72.6,2.42
Arkansas,2014,August,78.7,2.89
Arkansas,2014,July,75.4,4.34
Arkansas,2014,June,76.7,6.24
Arkansas,2014,May,68.1,6.05
Arkansas,2014,April,59.6,5.54
Arkansas,2014,March,46.5,4.66
Arkansas,2014,February,38.8,2.67
Arkansas,2014,January,35.2,1.98
Arkansas,2013,December,40.1,5.75
Arkansas,2013,November,47.5,3.85
Arkansas,2013,October,61.5,4.84
Arkansas,2013,September,75.4,3.47
Arkansas,2013,August,78.4,3.83
Arkansas,2013,July,78.0,4.04
Arkansas,2013,June,77.1,3.32
Arkansas,2013,May,67.2,6.29
Arkansas,2013,April,58.5,5.23
Arkansas,2013,March,46.6,3.51
Arkansas,2013,February,43.3,4.07
Arkansas,2013,January,42.1,6.04
Arkansas,2012,December,46.4,3.91
Arkansas,2012,November,50.2,1.74
Arkansas,2012,October,59.3,3.29
Arkansas,2012,September,73.5,5.01
Arkansas,2012,August,80.2,4.37
Arkansas,2012,July,84.1,2.82
Arkansas,2012,June,78.0,1.98
Arkansas,2012,May,73.2,1.47
Arkansas,2012,April,64.4,2.56
Arkansas,2012,March,62.2,6.71
Arkansas,2012,February,47.2,3.03
Arkansas,2012,January,44.6,2.92
Arkansas,2011,December,43.3,6.97
Arkansas,2011,November,53.4,8.45
Arkansas,2011,October,60.6,2.54
Arkansas,2011,September,70.2,2.49
Arkansas,2011,August,83.1,4.26
Arkansas,2011,July,84.7,2.03
Arkansas,2011,June,81.7,1.67
Arkansas,2011,May,67.3,8.31
Arkansas,2011,April,63.5,10.6
Arkansas,2011,March,52.5,2.8
Arkansas,2011,February,43.9,4.12
Arkansas,2011,January,37.6,1.6
Arkansas,2010,December,38.9,1.54
Arkansas,2010,November,52.0,4.35
Arkansas,2010,October,62.7,1.31
Arkansas,2010,September,74.8,3.3
Arkansas,2010,August,83.9,1.73
Arkansas,2010,July,82.0,4.46
Arkansas,2010,June,81.6,2.61
Arkansas,2010,May,71.3,6.2
Arkansas,2010,April,63.4,3.06
Arkansas,2010,March,50.5,2.99
Arkansas,2010,February,36.5,3.32
Arkansas,2010,January,36.5,3.92
Arkansas,2009,December,38.1,6.98
Arkansas,2009,November,54.0,1.7
Arkansas,2009,October,57.0,14.13
Arkansas,2009,September,71.3,8.64
Arkansas,2009,August,76.6,3.55
Arkansas,2009,July,77.8,7.55
Arkansas,2009,June,78.8,2.61
Arkansas,2009,May,67.5,11.03
Arkansas,2009,April,59.6,5.21
Arkansas,2009,March,52.7,5.35
Arkansas,2009,February,47.3,2.71
Arkansas,2009,January,38.4,2.74
California,2018,December,44.8,2.38
California,2018,November,52.6,2.81
California,2018,October,60.9,0.7
California,2018,September,71.1,0.06
California,2018,August,76.4,0.04
California,2018,July,79.6,0.22
California,2018,June,71.4,0.07
California,2018,May,63.0,0.66
California,2018,April,57.2,2.13
California,2018,March,49.0,5.12
California,2018,February,46.6,0.57
California,2018,January,48.9,3.33
California,2017,December,47.5,0.3
California,2017,November,53.4,2.98
California,2017,October,62.0,0.34
California,2017,September,69.8,0.43
California,2017,August,77.9,0.27
California,2017,July,78.8,0.09
California,2017,June,72.8,0.26
California,2017,May,63.4,0.43
California,2017,April,55.6,2.76
California,2017,March,53.4,2.45
California,2017,February,47.3,7.94
California,2017,January,42.2,9.92
California,2016,December,43.4,4.49
California,2016,November,52.8,2.16
California,2016,October,60.5,3.82
California,2016,September,69.5,0.1
California,2016,August,76.2,0.06
California,2016,July,76.8,0.06
California,2016,June,73.5,0.27
California,2016,May,62.2,0.77
California,2016,April,57.9,1.52
California,2016,March,52.5,4.88
California,2016,February,51.8,1.21
California,2016,January,44.5,6.39
California,2015,December,42.3,4.69
California,2015,November,47.6,1.87
California,2015,October,65.0,0.9
California,2015,September,72.1,0.33
California,2015,August,76.5,0.08
California,2015,July,75.0,0.66
California,2015,June,74.4,0.23
California,2015,May,60.8,0.93
California,2015,April,56.7,1.06
California,2015,March,56.9,0.78
California,2015,February,53.2,2.86
California,2015,January,48.6,0.65
California,2014,December,46.8,6.3
California,2014,November,53.1,1.84
California,2014,October,64.4,1.06
California,2014,September,72.2,0.72
